Soil_Moisture,LDR,Leaf_Temp,Ambient_Temp,VOC_Level,Leaf_V,Classes
10.6,615.54,37.33,28.52,250.04,0.91,1
11.25,566.94,39.25,33.52,225.71,0.921,1
49.05,732.24,33.32,36.46,410.38,1.046,3
18.53,850.45,32.49,31.27,187.12,0.919,1
43.34,668.17,26.23,32.16,558.44,0.962,2
46.09,317.53,41.27,35.9,412.17,1.29,3
16.81,631.93,33.84,34.93,141.36,0.865,1
72.43,776.2,29.78,29.55,155.52,0.468,0
21.55,574.02,34.65,33.01,169.26,0.83,1
45.49,307.58,34.5,37.14,413.11,1.228,3
46.01,614.03,34.32,36.27,418.44,1.254,3
32.32,830.47,37.56,34.14,255.0,0.83,3
10.14,622.39,38.37,34.24,146.82,0.932,1
54.8,737.34,26.25,26.49,566.54,0.93,2
60.71,641.21,26.73,25.7,667.09,0.84,2
71.64,883.96,25.31,26.69,143.27,0.369,0
60.24,748.2,26.47,22.21,53.36,0.347,0
34.29,797.74,41.1,36.58,392.96,0.908,3
59.25,682.93,32.15,28.0,534.94,0.824,2
71.93,874.23,26.67,25.68,195.07,0.329,0
72.23,875.34,26.41,24.96,123.19,0.526,0
49.71,653.23,32.29,32.4,400.82,0.903,3
68.58,795.48,33.75,26.56,593.8,1.147,2
52.54,528.52,30.11,26.81,790.03,0.815,2
46.87,609.0,25.97,25.77,493.07,1.087,2
27.55,626.84,39.54,34.48,148.43,0.877,1
47.68,533.42,34.97,32.24,323.32,1.358,3
21.7,545.79,30.49,33.08,251.09,0.641,1
21.76,720.12,31.45,30.07,205.36,0.791,1
61.79,761.79,28.36,25.77,62.79,0.351,0
60.51,820.15,23.3,25.34,169.26,0.329,0
53.04,676.93,30.77,30.59,598.84,0.763,2
69.03,459.02,26.64,27.73,513.24,0.74,2
60.57,983.84,26.71,22.62,145.22,0.419,0
38.14,531.6,36.9,34.33,429.42,1.159,3
67.59,732.26,34.43,31.39,449.4,0.824,2
77.5,781.36,24.92,23.0,77.25,0.586,0
42.71,870.28,37.21,35.13,345.96,1.164,3
65.12,873.0,23.18,23.09,101.52,0.337,0
60.74,741.9,29.59,30.14,654.5,0.772,2
40.37,782.37,30.74,30.68,557.42,0.984,2
69.24,794.78,32.77,29.2,514.27,0.892,2
29.34,714.76,32.52,28.96,284.4,0.754,1
29.12,502.09,30.21,30.26,270.3,0.79,1
26.44,723.01,30.82,29.64,299.42,0.902,1
78.77,830.46,27.03,26.38,55.56,0.402,0
51.34,633.98,30.93,26.07,474.84,0.789,2
56.2,752.37,32.43,31.33,433.46,0.974,2
85.67,821.19,29.94,27.35,78.53,0.459,0
84.58,818.06,29.43,24.05,76.68,0.564,0
67.27,777.48,27.91,23.24,181.94,0.521,0
18.84,674.92,38.78,32.04,146.45,0.622,1
37.71,766.48,34.83,30.22,494.71,1.013,3
61.77,843.26,28.62,24.29,178.11,0.382,0
10.61,607.88,33.45,28.23,102.99,0.79,1
37.44,337.31,40.42,31.46,332.79,1.375,3
33.02,508.93,41.54,34.02,290.86,1.07,3
47.89,570.2,41.93,36.75,378.9,0.888,3
18.57,539.91,32.92,28.88,108.59,0.816,1
36.58,947.12,35.44,30.68,370.85,0.951,3
48.18,310.76,35.05,34.56,461.57,0.998,3
45.27,769.77,33.4,34.53,399.76,0.987,3
67.26,538.88,25.32,26.87,453.98,1.132,2
62.91,850.32,29.08,28.58,112.98,0.45,0
60.61,514.9,33.5,32.92,466.51,1.043,2
12.64,633.9,38.8,33.79,272.95,0.685,1
36.42,428.18,36.51,34.12,347.45,1.335,3
63.66,449.6,30.52,26.02,566.7,1.169,2
61.97,765.69,25.19,27.92,65.94,0.458,0
45.48,658.78,35.56,33.56,296.03,1.478,3
21.58,651.2,37.77,30.7,117.65,0.787,1
85.51,955.52,28.09,28.99,131.33,0.484,0
49.29,618.51,31.29,32.85,601.53,1.021,2
82.14,893.19,26.4,27.78,96.37,0.363,0
14.45,517.74,34.36,30.63,286.79,0.754,1
20.86,532.86,39.0,34.3,253.37,0.671,1
11.68,773.07,30.88,33.38,272.38,0.673,1
46.19,401.86,33.71,34.59,475.91,1.005,3
72.07,792.95,29.77,27.12,175.17,0.393,0
31.7,425.06,40.18,32.81,329.91,1.243,3
22.21,564.24,37.71,32.88,277.1,0.878,1
46.52,405.16,28.6,30.0,725.04,0.744,2
37.18,883.32,39.93,30.53,400.28,0.95,3
76.33,866.27,22.2,25.16,137.51,0.457,0
79.42,954.19,27.22,27.9,108.07,0.454,0
40.35,408.52,33.27,32.82,531.37,1.043,2
31.97,660.2,34.24,34.21,464.65,1.083,3
26.72,554.75,37.46,35.74,218.18,0.791,1
86.58,737.59,22.2,27.78,51.21,0.575,0
54.46,408.99,26.34,28.3,519.63,1.128,2
37.59,342.34,37.38,34.56,298.71,0.954,3
70.92,940.93,27.33,29.65,116.73,0.587,0
33.63,488.88,33.21,31.85,330.26,1.195,3
76.07,782.59,28.98,26.57,76.07,0.325,0
15.27,831.56,33.48,34.57,220.87,0.7,1
69.75,855.05,24.03,23.17,161.92,0.325,0
51.29,622.34,25.51,27.24,584.28,1.152,2
19.58,598.71,30.14,34.57,244.83,0.751,1
74.15,797.21,23.51,22.78,156.04,0.445,0
80.96,843.27,22.98,24.4,144.18,0.458,0
44.26,662.91,28.14,30.61,568.36,0.843,2
27.14,773.64,32.27,32.43,125.39,0.74,1
38.63,425.83,36.44,35.61,303.61,1.129,3
20.67,770.55,36.98,33.23,209.25,0.897,1
24.28,506.21,38.58,28.87,109.11,0.665,1
47.61,426.57,28.03,25.3,485.85,1.144,2
64.64,878.2,27.97,22.15,191.13,0.445,0
60.17,761.98,22.34,22.03,165.42,0.399,0
12.14,507.71,36.29,29.35,191.85,0.806,1
37.65,356.1,37.99,36.52,472.02,1.247,3
15.81,732.12,36.54,34.57,111.06,0.806,1
40.0,566.4,35.7,37.23,275.56,1.485,3
49.54,452.31,34.84,36.49,489.41,1.034,3
68.5,482.14,26.74,31.47,671.76,1.115,2
35.44,411.06,41.46,36.71,317.57,1.137,3
12.18,849.23,34.71,33.9,211.34,0.945,1
74.52,726.94,24.02,29.07,58.2,0.425,0
39.71,909.96,36.45,30.06,423.57,0.846,3
17.74,616.8,33.08,32.26,245.45,0.974,1
69.48,788.82,26.46,30.06,746.07,0.967,2
25.88,501.64,37.57,30.47,252.63,0.826,1
47.68,455.69,33.85,30.29,613.57,0.705,2
41.25,396.58,36.82,37.49,476.85,1.129,3
44.43,417.56,27.42,31.26,463.47,0.705,2
79.88,776.6,29.03,29.56,196.91,0.414,0
38.95,437.35,33.64,35.69,279.91,1.255,3
68.45,493.34,29.61,25.6,623.16,1.187,2
27.03,669.42,32.57,30.75,149.81,0.86,1
33.91,380.02,34.47,36.97,360.37,1.194,3
21.11,649.95,31.77,31.06,120.15,0.866,1
37.97,611.36,37.85,35.95,413.41,1.015,3
36.84,679.73,40.93,31.59,415.51,0.962,3
66.74,407.45,25.16,25.35,555.11,0.916,2
41.65,861.42,32.22,37.77,377.29,1.387,3
49.97,489.15,25.93,25.66,492.16,0.817,2
44.52,484.94,28.08,25.57,762.7,1.164,2
39.06,927.77,37.67,35.12,302.8,1.396,3
45.8,486.42,30.84,26.22,707.51,0.888,2
83.14,949.24,22.66,24.21,181.96,0.583,0
28.22,724.11,39.71,32.62,227.26,0.994,1
64.88,688.57,33.08,32.22,593.24,0.932,2
17.79,714.26,38.88,31.74,275.29,0.972,1
45.36,611.99,33.5,32.85,309.22,1.194,3
20.61,713.47,36.94,29.09,191.97,0.723,1
85.7,875.17,29.83,25.49,137.25,0.451,0
63.28,736.78,34.19,25.69,564.09,0.929,2
24.55,505.95,39.33,35.28,142.5,0.694,1
37.76,843.09,34.21,35.0,358.09,1.061,3
49.08,477.27,25.61,28.51,550.98,0.833,2
14.55,728.5,36.0,35.7,131.58,0.855,1
84.13,865.23,28.3,28.25,190.46,0.374,0
35.27,812.58,35.96,35.83,351.27,0.932,3
31.94,418.78,40.16,36.78,387.84,1.408,3
49.35,914.45,37.2,30.52,340.74,1.371,3
28.73,894.69,33.3,35.92,242.4,0.955,1
44.27,660.2,27.46,32.62,527.25,1.124,2
29.07,550.72,31.65,28.4,212.8,0.857,1
65.5,969.15,26.48,27.84,65.54,0.422,0
57.47,456.79,32.72,30.15,733.36,0.96,2
25.2,845.35,33.72,34.57,170.96,0.921,1
45.15,425.83,35.49,33.81,262.61,0.98,3
64.38,434.1,27.7,27.64,556.79,0.778,2
18.48,787.39,38.85,32.38,142.65,0.861,1
21.36,545.08,35.96,28.43,177.05,0.963,1
48.57,622.56,38.6,36.42,446.97,1.379,3
54.59,703.34,29.89,32.02,724.3,0.839,2
65.99,882.77,26.5,25.84,102.67,0.412,0
70.55,977.85,29.38,25.04,78.28,0.349,0
61.65,452.35,31.46,28.11,771.28,0.915,2
51.41,645.59,33.24,31.91,520.24,1.037,2
67.79,892.27,28.91,29.51,197.41,0.422,0
63.02,837.73,25.99,24.43,138.9,0.419,0
25.68,649.88,35.56,31.41,279.57,0.681,1
37.14,306.46,39.28,30.86,471.79,1.089,3
87.52,748.32,27.43,27.36,138.22,0.522,0
15.7,832.56,39.18,29.22,102.62,0.857,1
50.58,611.49,30.93,27.1,790.04,1.031,2
36.62,415.36,33.39,32.43,289.69,0.808,3
64.15,766.04,27.05,29.31,158.4,0.535,0
16.77,639.99,34.39,30.16,270.52,0.623,1
31.7,737.77,35.07,30.68,274.97,1.023,3
84.95,883.84,25.03,22.69,129.14,0.35,0
15.27,846.22,38.02,35.73,242.67,0.893,1
80.62,791.25,26.04,29.8,194.13,0.33,0
49.22,633.77,32.74,32.78,299.14,1.083,3
12.39,685.13,36.29,31.81,195.04,0.851,1
20.35,602.18,30.94,35.35,197.98,0.941,1
51.48,437.6,30.76,25.34,515.38,0.996,2
45.65,769.29,34.51,31.99,307.52,0.82,3
30.93,717.91,40.54,34.45,302.77,1.482,3
43.09,608.04,25.71,32.23,564.07,1.126,2
79.18,919.27,28.98,29.46,166.8,0.549,0
39.67,584.08,37.69,30.46,385.98,0.929,3
78.37,700.8,24.02,24.3,68.99,0.473,0
70.3,992.41,22.5,23.19,170.03,0.33,0
63.29,462.04,31.28,27.51,789.79,0.795,2
45.54,497.96,29.06,27.83,484.68,0.959,2
69.88,539.29,29.71,28.02,745.7,1.164,2
13.24,549.55,33.48,32.09,188.99,0.859,1
85.7,893.09,27.3,29.94,119.33,0.512,0
63.6,437.69,33.25,26.28,488.33,0.78,2
48.53,400.04,25.63,31.43,493.07,0.76,2
38.39,688.51,35.39,31.53,470.14,1.279,3
35.34,377.68,32.92,33.56,385.31,1.399,3
38.52,490.66,39.87,31.58,323.4,1.431,3
30.44,481.8,33.55,33.2,298.9,1.234,3
21.87,806.81,39.62,28.06,201.73,0.839,1
60.76,669.04,27.78,31.74,526.19,0.796,2
70.96,789.53,29.15,24.52,153.46,0.593,0
40.15,375.29,41.76,35.39,369.99,0.81,3
69.66,763.37,27.88,22.27,80.14,0.407,0
33.9,599.87,38.66,36.74,299.77,1.442,3
70.41,777.99,29.21,29.02,93.03,0.462,0
61.43,433.68,28.13,29.88,497.63,0.737,2
50.38,720.96,32.29,29.79,458.61,0.716,2
46.93,880.04,33.64,31.14,349.6,1.44,3
69.35,816.64,24.45,27.49,149.32,0.345,0
69.16,530.09,28.5,32.94,404.93,0.942,2
31.4,780.25,37.96,36.72,463.49,0.83,3
56.07,406.38,32.09,28.99,449.78,0.727,2
34.79,443.47,40.25,35.22,392.09,0.831,3
48.47,910.76,38.13,37.46,334.9,0.811,3
66.38,553.98,31.63,32.66,797.0,0.893,2
49.22,454.24,30.6,31.64,416.37,1.11,2
21.98,566.54,33.64,30.54,122.92,0.687,1
78.67,792.1,23.63,29.99,184.83,0.37,0
15.72,528.33,31.92,33.49,184.48,0.961,1
64.91,939.43,26.03,26.19,109.91,0.555,0
81.68,861.75,28.81,29.56,58.19,0.562,0
18.4,860.61,34.33,35.02,199.63,0.949,1
83.48,887.85,27.72,26.42,89.27,0.469,0
87.39,799.66,25.13,23.16,111.13,0.402,0
38.49,320.87,36.5,35.56,455.39,0.948,3
33.5,868.98,36.94,30.54,303.36,1.024,3
60.85,714.55,27.39,29.53,180.87,0.37,0
26.48,863.51,39.38,34.93,207.98,0.799,1
46.97,329.97,35.76,32.46,268.14,1.374,3
84.47,782.09,23.98,27.36,126.75,0.494,0
68.36,948.56,23.1,28.03,175.74,0.369,0
68.6,818.87,27.51,28.38,78.05,0.307,0
35.13,435.01,37.18,33.54,410.84,1.144,3
31.23,594.18,41.71,33.94,488.56,1.019,3
50.3,553.7,33.18,25.2,601.25,1.173,2
47.28,683.35,34.27,34.71,290.81,0.83,3
84.61,886.32,27.53,28.16,78.16,0.461,0
17.17,892.31,35.33,34.71,194.11,0.691,1
48.09,396.71,40.89,30.42,314.07,1.452,3
47.3,844.02,38.08,33.54,273.23,1.447,3
49.66,851.48,32.02,36.72,441.87,1.206,3
22.84,612.51,36.27,35.77,168.23,0.673,1
43.09,680.77,32.74,27.25,624.17,0.987,2
64.66,989.62,27.74,22.21,189.0,0.4,0
43.39,308.51,37.84,32.99,362.5,1.254,3
12.05,876.8,39.56,28.45,193.38,0.79,1
89.01,804.52,22.35,22.3,183.64,0.561,0
37.4,406.15,33.18,35.63,424.04,1.269,3
18.75,793.79,32.25,33.65,251.35,0.926,1
72.08,846.45,24.35,22.46,87.64,0.459,0
60.64,938.28,29.44,25.51,182.25,0.57,0
83.91,870.23,29.41,24.13,158.33,0.507,0
51.82,429.13,26.11,30.47,702.94,1.046,2
19.45,517.89,38.08,30.49,132.17,0.836,1
32.34,428.43,37.69,33.64,348.29,1.426,3
48.94,633.2,26.89,28.77,763.0,0.999,2
75.05,727.7,23.12,28.68,73.75,0.531,0
13.02,523.22,35.63,28.92,204.59,0.798,1
39.75,455.23,39.35,32.83,407.71,1.124,3
41.98,614.74,26.46,31.65,673.05,0.726,2
46.01,423.9,32.53,25.71,424.77,0.921,2
28.65,837.82,32.79,28.83,205.84,0.817,1
47.56,349.63,36.59,34.53,374.2,1.324,3
23.07,751.6,37.25,35.7,149.45,0.897,1
30.11,670.42,37.97,33.87,493.5,1.36,3
10.77,834.97,30.54,35.71,149.98,0.759,1
12.11,802.11,35.64,32.29,140.01,0.673,1
73.86,775.23,29.34,23.94,58.47,0.566,0
83.92,980.6,22.19,27.4,81.11,0.305,0
66.2,819.48,22.47,24.32,73.51,0.551,0
12.41,640.46,36.09,29.0,206.49,0.719,1
44.64,684.65,32.87,28.94,449.57,1.073,2
86.45,783.89,22.62,27.0,98.29,0.547,0
42.82,432.84,37.86,33.16,482.84,1.058,3
43.65,597.18,40.14,37.03,359.52,0.83,3
62.53,833.66,24.2,23.03,178.2,0.506,0
41.94,785.35,39.79,32.58,377.86,1.256,3
16.67,695.38,32.49,35.33,297.59,0.928,1
31.7,747.83,33.33,32.48,314.2,1.224,3
36.99,544.02,33.66,35.5,480.18,1.427,3
66.03,741.52,23.22,27.41,52.2,0.336,0
40.17,915.76,38.5,32.02,320.08,1.226,3
22.92,672.01,30.82,30.61,266.66,0.856,1
52.09,418.06,30.61,31.86,657.89,1.065,2
37.69,622.37,33.56,30.5,316.07,1.058,3
69.22,812.88,22.57,22.08,163.44,0.491,0
44.31,943.23,41.51,36.97,264.6,1.389,3
18.4,766.75,33.67,28.69,257.93,0.672,1
12.18,710.48,34.84,35.24,165.19,0.629,1
47.28,761.2,34.66,31.49,555.46,1.039,2
29.17,745.05,31.08,30.27,169.07,0.997,1
25.71,673.36,30.44,34.95,107.6,0.797,1
49.87,409.93,36.53,34.32,330.19,0.919,3
64.28,741.66,27.09,25.5,491.19,0.858,2
22.81,803.21,31.22,33.62,159.41,0.868,1
65.32,494.83,25.61,26.77,543.4,1.19,2
63.29,677.29,30.73,29.39,657.38,1.064,2
84.22,978.74,24.26,25.12,183.17,0.44,0
53.35,469.0,32.6,29.18,511.46,1.036,2
35.25,406.92,33.11,33.32,442.93,1.199,3
46.1,328.97,39.81,34.51,393.25,0.824,3
75.97,940.91,28.57,27.24,67.9,0.531,0
68.71,722.32,29.2,29.66,784.78,1.189,2
38.02,899.86,39.5,33.68,274.9,1.106,3
68.17,651.47,33.59,25.06,661.34,1.048,2
39.11,718.37,35.97,35.78,394.21,1.414,3
63.14,487.12,32.44,31.32,549.36,0.995,2
29.87,841.61,39.86,30.86,200.95,0.81,1
41.9,642.64,26.94,26.47,648.17,1.048,2
47.07,565.5,25.78,26.29,655.51,0.893,2
32.28,845.03,32.02,32.95,478.07,1.246,3
60.1,751.35,27.61,25.94,482.49,1.063,2
60.68,718.07,23.57,22.26,160.22,0.351,0
58.49,761.38,29.86,28.84,500.58,0.814,2
69.07,968.69,28.63,25.98,167.12,0.405,0
74.74,801.6,26.75,27.03,142.94,0.368,0
27.25,884.64,38.59,30.17,246.29,0.831,1
67.78,932.66,28.91,22.84,69.32,0.497,0
66.44,425.41,30.29,32.38,734.55,0.911,2
47.12,529.91,36.19,30.23,265.32,1.443,3
39.07,662.88,33.25,31.64,390.41,1.228,3
45.23,468.64,27.02,25.1,506.02,1.029,2
53.9,514.47,26.54,28.89,709.72,0.79,2
60.07,538.49,29.4,25.37,727.77,0.791,2
64.91,923.78,28.44,28.59,181.53,0.362,0
20.04,579.63,30.41,32.7,255.33,0.937,1
28.58,549.86,38.02,31.2,109.87,0.824,1
62.36,895.27,29.83,25.22,57.72,0.438,0
64.73,421.09,28.89,28.78,735.87,0.916,2
62.94,768.59,23.35,28.16,74.29,0.343,0
61.77,706.48,33.71,28.06,768.66,0.716,2
89.41,738.71,24.18,24.1,99.96,0.465,0
47.63,669.51,31.55,27.79,741.04,0.882,2
38.92,507.67,41.55,36.57,358.71,0.953,3
46.64,610.39,38.46,31.25,268.62,1.394,3
65.49,935.84,28.86,29.1,84.88,0.438,0
69.34,833.13,23.61,23.16,66.91,0.491,0
40.02,922.83,40.29,36.43,473.03,1.169,3
26.04,745.4,38.11,34.71,174.53,0.739,1
49.35,519.52,28.22,29.47,741.92,0.78,2
40.26,948.83,40.74,32.55,324.75,1.138,3
88.36,909.11,25.54,29.2,102.84,0.524,0
